fhfa_cbsa,period,hpi_all_transactions_nsa
10500,2024Q1,242.85
10500,2024Q2,241.22
10500,2024Q3,231.14
10500,2024Q4,243.86
10500,2025Q1,246.92
10500,2025Q2,262.82
10500,2025Q3,254.64
10500,2025Q4,261.57
10500,2026Q1,257.85
10540,1987Q1,45.03
10540,1987Q2,51.44
10540,1987Q3,46.59
10540,1988Q2,48.72
10540,1988Q3,45.61
10540,1988Q4,48.73
10540,1989Q1,47.36
10540,1989Q2,51.36
10540,1989Q3,54.26
10540,1989Q4,52.9
10540,1990Q1,53.67
10540,1990Q2,57.15
10540,1990Q3,61.05
10540,1990Q4,58.19
10540,1991Q1,59.74
10540,1991Q2,64.01
10540,1991Q3,63.32
10540,1991Q4,68.29
10540,1992Q1,66.81
10540,1992Q2,67.84
10540,1992Q3,70.91
10540,1992Q4,75.09
10540,1993Q1,74.91
10540,1993Q2,77.06
10540,1993Q3,81.66
10540,1993Q4,85.81
10540,1994Q1,86.82
10540,1994Q2,89.25
10540,1994Q3,94.91
10540,1994Q4,95.27
10540,1995Q1,100
10540,1995Q2,101.64
10540,1995Q3,104.18
10540,1995Q4,106.47
10540,1996Q1,108.08
10540,1996Q2,110.34
10540,1996Q3,110.13
10540,1996Q4,113.52
10540,1997Q1,115.16
10540,1997Q2,116.03
10540,1997Q3,118.26
10540,1997Q4,120.72
10540,1998Q1,121.55
10540,1998Q2,123.32
10540,1998Q3,122.58
10540,1998Q4,125.23
10540,1999Q1,124.65
10540,1999Q2,125.22
10540,1999Q3,125.02
10540,1999Q4,125.92
10540,2000Q1,124.84
10540,2000Q2,124.74
10540,2000Q3,123.74
10540,2000Q4,127.85
10540,2001Q1,130.32
10540,2001Q2,131.33
10540,2001Q3,129.81
10540,2001Q4,131.88
10540,2002Q1,132.39
10540,2002Q2,129.22
10540,2002Q3,133.06
10540,2002Q4,134.04
10540,2003Q1,134.42
10540,2003Q2,135.2
10540,2003Q3,135.38
10540,2003Q4,137.43
10540,2004Q1,137.55
10540,2004Q2,139.99
10540,2004Q3,144.9
10540,2004Q4,144.05
10540,2005Q1,146.21
10540,2005Q2,152.85
10540,2005Q3,159.66
10540,2005Q4,163.65
10540,2006Q1,172.08
10540,2006Q2,175.88
10540,2006Q3,181.65
10540,2006Q4,185.27
10540,2007Q1,190.18
10540,2007Q2,193.21
10540,2007Q3,195.05
10540,2007Q4,198.42
10540,2008Q1,196.71
10540,2008Q2,195.3
10540,2008Q3,191.69
10540,2008Q4,187.54
10540,2009Q1,189.77
10540,2009Q2,183.3
10540,2009Q3,176.97
10540,2009Q4,176.61
10540,2010Q1,171.61
10540,2010Q2,167.81
10540,2010Q3,167.79
10540,2010Q4,166.98
10540,2011Q1,162.42
10540,2011Q2,155
10540,2011Q3,157.54
10540,2011Q4,158.36
10540,2012Q1,154.11
10540,2012Q2,152.31
10540,2012Q3,154.29
10540,2012Q4,155
10540,2013Q1,154.98
10540,2013Q2,157.86
10540,2013Q3,160.8
10540,2013Q4,161.87
10540,2014Q1,164.7
10540,2014Q2,165.02
10540,2014Q3,170.17
10540,2014Q4,171.17
10540,2015Q1,171.52
10540,2015Q2,181.08
10540,2015Q3,186.7
10540,2015Q4,185.37
10540,2016Q1,190.44
10540,2016Q2,194.77
10540,2016Q3,201.43
10540,2016Q4,202.41
10540,2017Q1,210.57
10540,2017Q2,217.09
10540,2017Q3,223.37
10540,2017Q4,230.66
10540,2018Q1,233.84
10540,2018Q2,241.21
10540,2018Q3,249.34
10540,2018Q4,252.35
10540,2019Q1,254.97
