zillow_region_id,fhfa_cbsa,period,zori_usd_month
394308,10580,2025-10,1617.4744263949328
394308,10580,2025-11,1614.288313027105
394308,10580,2025-12,1617.4464156642705
394308,10580,2026-01,1623.2442888919622
394308,10580,2026-02,1627.0098268585
394308,10580,2026-03,1637.8437015113702
394308,10580,2026-04,1650.811850125637
394308,10580,2026-05,1666.7532840439737
394308,10580,2026-06,1678.9364867967854
394312,10740,2015-01,842.412533358654
394312,10740,2015-02,841.9379530661008
394312,10740,2015-03,847.6647617201728
394312,10740,2015-04,853.5201031374199
394312,10740,2015-05,858.258828842501
394312,10740,2015-06,859.7864482716628
394312,10740,2015-07,861.2678790431825
394312,10740,2015-08,862.686471085914
394312,10740,2015-09,860.3159658280308
394312,10740,2015-10,859.7716279649657
394312,10740,2015-11,857.9565197669407
394312,10740,2015-12,861.2781093804641
394312,10740,2016-01,862.3846749309098
394312,10740,2016-02,865.0129826620866
394312,10740,2016-03,870.3604096390029
394312,10740,2016-04,876.7882190738982
394312,10740,2016-05,881.2280579750777
394312,10740,2016-06,882.8557448408571
394312,10740,2016-07,881.9602959320562
394312,10740,2016-08,884.9605363160773
394312,10740,2016-09,881.9076006763817
394312,10740,2016-10,880.8018065165949
394312,10740,2016-11,878.5458536692826
394312,10740,2016-12,877.6750957838634
394312,10740,2017-01,880.7938224723474
394312,10740,2017-02,887.3995217474741
394312,10740,2017-03,897.0723329813796
394312,10740,2017-04,900.7314985205553
394312,10740,2017-05,903.7229034789998
394312,10740,2017-06,908.7556777379002
394312,10740,2017-07,912.154595828828
394312,10740,2017-08,913.8690284181181
394312,10740,2017-09,911.8303265205403
394312,10740,2017-10,912.6421572665273
394312,10740,2017-11,909.8408981120134
394312,10740,2017-12,909.1694152447056
394312,10740,2018-01,909.5067375897679
394312,10740,2018-02,913.9293131737287
394312,10740,2018-03,921.0978133370244
394312,10740,2018-04,928.9941523282024
394312,10740,2018-05,933.7259683871605
394312,10740,2018-06,937.7345438125728
394312,10740,2018-07,940.5988090581573
394312,10740,2018-08,945.0195991586214
394312,10740,2018-09,945.0606202680237
394312,10740,2018-10,946.3127948557686
394312,10740,2018-11,944.8221661536513
394312,10740,2018-12,946.2789144590749
394312,10740,2019-01,947.6307866356998
394312,10740,2019-02,953.3270323876939
394312,10740,2019-03,960.7797519311634
394312,10740,2019-04,967.7521729193095
394312,10740,2019-05,974.1527746302828
394312,10740,2019-06,983.1502338669326
394312,10740,2019-07,989.3871654549749
394312,10740,2019-08,995.7165971821331
394312,10740,2019-09,996.3956885117769
394312,10740,2019-10,998.1572295461483
394312,10740,2019-11,994.7544088418337
394312,10740,2019-12,993.9627394250967
394312,10740,2020-01,996.7912419906473
394312,10740,2020-02,1005.1388446956178
394312,10740,2020-03,1009.9093869540129
394312,10740,2020-04,1011.4701806432291
